description,type,source,fee,feePayer,signature,slot,timestamp,formattedTimestamp
"",UNKNOWN,MAGIC_EDEN,5000,Fd7ZmZKcDg1LxWEgmU9fmLGQo6eVAroVZ5uL1Dp5Qy4z,4Jg6CSDG6rf4vY6V5HAcsii9E5wpnXTEtoaguM9N3rzGbSkmi8UBGUx2hQivzox571iG5Uvweup2TX9JtCxdJTNF,340424985,1747409857,2025-05-16T15:37:37.000Z
"FZoxLAggZ5W164NYMYXG5VbRygHneZr29EwBx7uEAV2z transferred a total 0.3027578 SOL to multiple accounts.",TRANSFER,SYSTEM_PROGRAM,135000,FZoxLAggZ5W164NYMYXG5VbRygHneZr29EwBx7uEAV2z,ahLxVwQv2jceS28APYMBYpRCgzXqVCFszrot4oLncX6KdBr3gKER1JDPcqrCatrBmfmgJkthpox2dcKVBuqHwkt,340423988,1747409465,2025-05-16T15:31:05.000Z
"HRaTPqGbJmkB5jeyKemPLwPW82iHfWvzSi7YALzx39LH transferred a total 0.3026678 SOL to multiple accounts.",TRANSFER,SYSTEM_PROGRAM,45000,HRaTPqGbJmkB5jeyKemPLwPW82iHfWvzSi7YALzx39LH,2T48BpjR1J2yfsB2ynFodGB9YYRBwpW8PdHwHGzBshc3MQY1VbPacoyRUMqnU3TjWJU6791Niap3VMVwUdDf2TC,340423919,1747409436,2025-05-16T15:30:36.000Z
"BDbmAYzhKct4Bgv78GdGNhtFT8hwyv252LDUPCUNkceL transferred a total 0.3027378 SOL to multiple accounts.",TRANSFER,SYSTEM_PROGRAM,115000,BDbmAYzhKct4Bgv78GdGNhtFT8hwyv252LDUPCUNkceL,2uxdf6VRHWpYbeMYZpFZccVwpSesRHqSV7B4eSoKoXKMjurmmK4U85FfQGtPH435J8xA5FYVnGVnbXKWjG3LXwtA,340423868,1747409416,2025-05-16T15:30:16.000Z
"BdZoTnf586DLLZqw9kD4FwYCi3CkiaAz1FxWoSsq2i8L transferred a total 0.305022556 SOL to multiple accounts.",TRANSFER,SYSTEM_PROGRAM,116876,BdZoTnf586DLLZqw9kD4FwYCi3CkiaAz1FxWoSsq2i8L,5ai5extVJrUTiPb4eaYSc74rmJSUCfMWvryPCd1VHYZxLFYYRdHWpuxTQYjkorU3xoPtiZbARjaSDH4jsfKhYPg4,340423820,1747409397,2025-05-16T15:29:57.000Z
"BdZoTnf586DLLZqw9kD4FwYCi3CkiaAz1FxWoSsq2i8L transferred a total 0.302739676 SOL to multiple accounts.",TRANSFER,SYSTEM_PROGRAM,116876,BdZoTnf586DLLZqw9kD4FwYCi3CkiaAz1FxWoSsq2i8L,3SPHa6QdJenWZX3fegy9BxaGtrd3PmngsazihRqsseMo8eGmtEm7eRcAGhzAwsMUfkNqA3bHXZ4MdiLSv4SGjPjG,340423820,1747409397,2025-05-16T15:29:57.000Z
"7x1jYSDKe7EPzL5Yehc4KQMHvc1RWdQzE5B9QaD3rYXK transferred a total 0.302732774 SOL to multiple accounts.",TRANSFER,SYSTEM_PROGRAM,109974,7x1jYSDKe7EPzL5Yehc4KQMHvc1RWdQzE5B9QaD3rYXK,2AZ9YLMP6zhU6kbQKxxBTssYB6cdyejrrxMbDrstyPrVwtH9XKm1ox21b2hzP5JeFxy13dcg4M4b7Mz3kpE3M7aG,340423744,1747409366,2025-05-16T15:29:26.000Z
"7x1jYSDKe7EPzL5Yehc4KQMHvc1RWdQzE5B9QaD3rYXK transferred a total 0.302732774 SOL to multiple accounts.",TRANSFER,SYSTEM_PROGRAM,109974,7x1jYSDKe7EPzL5Yehc4KQMHvc1RWdQzE5B9QaD3rYXK,3k1QJrbYHukACjN2nvEK6pjpJ4aHSJpudGFwoVoVMrHBW6GGorxWFM6qRg5gv7ZVUefymp3ALbW97HifcL4Rzx8u,340423743,1747409366,2025-05-16T15:29:26.000Z
"7x1jYSDKe7EPzL5Yehc4KQMHvc1RWdQzE5B9QaD3rYXK transferred a total 0.302732774 SOL to multiple accounts.",TRANSFER,SYSTEM_PROGRAM,109974,7x1jYSDKe7EPzL5Yehc4KQMHvc1RWdQzE5B9QaD3rYXK,4soukzkW4k9VH33kJUuP7zJ4egF7S7k4NDaCsr46JLac3hyfMVZTZj3ep9F8pC1qH886PYp7rEiR69j6eQQS4VR5,340423743,1747409366,2025-05-16T15:29:26.000Z
"7x1jYSDKe7EPzL5Yehc4KQMHvc1RWdQzE5B9QaD3rYXK transferred a total 0.302732774 SOL to multiple accounts.",TRANSFER,SYSTEM_PROGRAM,109974,7x1jYSDKe7EPzL5Yehc4KQMHvc1RWdQzE5B9QaD3rYXK,4TWvYm86JcGXLthDVC6PF2YARYt2YECEZApnK8wV2dLshnHJjZNikVbKaJiocTZpeA1a1wDjJ2Y9xdBtc6HBPaGo,340423743,1747409366,2025-05-16T15:29:26.000Z
